id,track_name,artist
0088e5ea-5540-4685-849e-1e40fa624c8c,Someone Else,Miley Cyrus
d9d58427-9b6c-4e2c-babb-114d8fc35034,Self Control,Laura Branigan
9855f2d9-3720-4052-a3b0-181682666a7f,Vibeology,Paula Abdul
092e42a4-c8f5-4837-9663-8a50405a3896,Everytime We Touch,Cascada
7e742abc-2a23-4f0c-b638-4be8c299bf57,Turn Back Time,Aqua
071fa60b-652a-4d67-b7e4-58a63a1bbe6f,Black or White,Michael Jackson
fe872d20-f73b-47f0-9c26-cc080e994582,#GETITRIGHT,Miley Cyrus
c0b63ecd-2ef3-4118-910b-4063ba00d6bd,I Turn to You,Melanie C
60fe129c-4409-4069-9262-bb6f2277e299,When I Grow Up,The Pussycat Dolls
c7677cc2-9d61-4b8e-bfa4-43472f94acd5,I Begin To Wonder,Dannii Minogue
331a1f4a-025d-4bbf-9239-d29d0f65becb,Nothing in This World,Paris Hilton
13d21923-f9da-4015-bb75-29839cd2b2a4,Never Ever,All Saints
66402dcb-9bda-41d4-a3ad-a5f6550b9db4,Buttons,The Pussycat Dolls
120bab80-2c7d-410e-9bc7-8aa3e5e5665f,I Wanna Dance with Somebody,Whitney Houston
24f0414a-fb48-41ba-a32d-f8a498c6bb59,Get Over You,Sophie Ellis-Bextor
0cfc4ff5-5cb7-486c-907f-f3935360feb7,Get the Party Started,P!nk
208e92ab-42f0-44b3-8c03-5872944ce891,Thank You,Dido
69b29ef5-ac32-4302-a563-95b9ea7f24fa,New York City Boy,Pet Shop Boys
12994b02-ce90-409a-a819-9500d5d2b38e,Bailamos,Enrique Iglesias
69538706-6845-42ea-88b8-c7e092bc3e3d,Mirrors,Natalia Kills
828cdb5a-353a-404c-b059-cbf61829918a,Why,Annie Lennox
3805b6a9-291c-4315-bca0-0b96c01c7ef7,Undercover,Selena Gomez
e0b200af-4b81-4f0b-8a5f-87a9e094cb42,Straight Up,Paula Abdul
6e0eb323-251d-492c-8dd1-10c3b808266c,Pure Shores,All Saints
01b752d5-b3d6-4abe-83ae-9193ff9c0aa9,Venus,Bananarama
9705d5d9-d6c1-4cbe-bd3e-0c2601b3751a,Never Be the Same Again,Melanie C
31dcd48a-2495-4454-b095-af3c1989c992,Release Me,Agnes
b0d283a0-c113-4b57-962d-94960264af6e,All Night,Icona Pop
163735da-7d15-40c6-af4f-ee08350ca06d,Evacuate the Dancefloor,Cascada
f62b6ad9-c0b1-42e5-bc8b-83be67d66789,Look at Me,Geri Halliwell
434df0b1-3461-4f36-b2b7-c78bb3b02af3,Acapella,Kelis
a5c404e8-ff4e-420a-9df7-bb025675bc2d,Rumors,Lindsay Lohan
6a7e4552-ed19-4513-9586-e949c486ec9f,Unwritten,Natasha Bedingfield
b5323614-195e-43d2-98fb-17f691f8b80d,Cry For You,September
59cd7586-f768-4ae1-9bed-c17bce2dea9d,Slave to the Rhythm,Michael Jackson
032658ec-a0cb-479b-af00-33bdf275b8e6,It's All Coming Back to Me Now,C\u00e9line Dion
6c4dc807-4073-4b0a-88e1-1cf6cb993413,On the Metro,Girls Aloud
0398acc1-ffdd-40c5-9443-dacae38fc15f,Physical,Olivia Newton-John
01b13dbc-416e-4c71-84e2-cfe2875c296a,Here with Me,Dido
7e9749da-3c2f-42b3-a285-e66841924a79,Grown Woman,Beyonc\u00e9
