id,track_name,artist
2527625b-0752-48f3-95fd-c3f216686db8,Strong Enough,Cher
a88735e6-b35c-4379-8ef7-bbd2b793ccf4,All or Nothing,Cher
bcd3a77c-64a6-4c03-967b-92a0f6880c44,Can't Get You Out of My Head,Kylie Minogue
31a6b752-291c-456f-ade5-f4b85545e6df,Hung Up,Madonna
1111fd1f-7868-40a5-9dec-15dcd9b175a3,Vogue,Madonna
4988f79d-2945-471d-b238-79f04949ed34,Get Outta My Way,Kylie Minogue
d48db0f4-fab6-4d18-bc1f-aec43772af96,Waiting for Tonight,Jennifer Lopez
020a3ff4-7fcf-4bc8-b00d-338a290deb8d,Applause,Lady Gaga
0118d2c3-ec15-470e-b22d-4ae0134bd46e,Torn,Natalie Imbruglia
35143c2f-0484-44e2-bf27-7baa7ca5e135,Walking on Air,Katy Perry
b5e893c6-6c1d-452f-a6c5-4b40354d41bd,Poker Face,Lady Gaga
5b5dda5d-7782-4ab2-8f49-cdbd98ecfc52,Barbie Girl,Aqua
17410183-d250-49c9-8be1-04d26fa4c71d,Let There Be Love,Christina Aguilera
3cc3806c-c2bb-41d7-9319-981fabca3399,...Baby One More Time,Britney Spears
aeff81b2-6e5c-4d1e-943f-e07b9a8cc29e,Toxic,Britney Spears
0d6b001d-48c7-42f1-b617-ae0e3781eaa5,Wannabe,Spice Girls
7d9f69b7-81e7-4b42-ac24-ee58028740c8,Not Myself Tonight,Christina Aguilera
de9a5376-a45b-4255-8e82-031ce6728e87,Say You'll Be There,Spice Girls
710f21dc-4237-4459-90fd-b117a71d347f,All That She Wants,Ace of Base
bb9401f9-41b1-4a5d-9b8c-b2ae039c09fe,If You Had My Love,Jennifer Lopez
60535489-7d75-4686-a578-a42ca0cd1e49,The Sign,Ace of Base
25fc2052-d6ea-4cca-a018-5172d22edd03,Only Girl (In the World),Rihanna
128fcda8-d61d-4932-be2b-56c8e37b45d4,Time After Time,Cyndi Lauper
44e38b7b-11b1-4ada-82e2-6583c947aa34,Murder on the Dancefloor,Sophie Ellis-Bextor
03659fc1-e2b6-407c-8f90-8854fbfe82c7,Together Again,Janet Jackson
